X1,X2,X3,Y
0,12,1,27
0,12,2,26
0,12,3,27
0,12,4,28
0,12,5,28
0,12,6,27
0,12,7,28
0,12,8,27
0,12,9,28
0,12,10,28
0,12,11,29
0,12,12,29
0,12,13,28
0,12,14,28
0,12,15,28
0,12,16,28
0,12,17,28
0,12,18,29
0,12,19,29
0,12,20,28
0,13,1,25
0,13,2,26
0,13,3,28
0,13,4,26
0,13,5,28
0,13,6,28
0,13,7,26
0,13,8,25
0,13,9,28
0,13,10,28
0,13,11,28
0,13,12,28
0,13,13,28
0,13,14,28
0,13,15,28
0,13,16,29
0,13,17,29
0,13,18,29
0,13,19,28
0,13,20,29
0,14,1,26
0,14,2,27
0,14,3,27
0,14,4,27
0,14,5,28
0,14,6,27
0,14,7,27
0,14,8,27
0,14,9,27
0,14,10,27
0,14,11,29
0,14,12,27
0,14,13,27
0,14,14,28
0,14,15,28
0,14,16,29
0,14,17,29
0,14,18,29
0,14,19,29
0,14,20,28
0,15,1,27
0,15,2,26
0,15,3,25
0,15,4,27
0,15,5,26
0,15,6,26
0,15,7,27
0,15,8,28
0,15,9,27
0,15,10,27
0,15,11,29
0,15,12,28
0,15,13,28
0,15,14,28
0,15,15,29
0,15,16,29
0,15,17,29
0,15,18,29
0,15,19,28
0,15,20,29
0,16,1,25
0,16,2,26
0,16,3,27
0,16,4,27
0,16,5,26
0,16,6,27
0,16,7,28
0,16,8,28
0,16,9,28
0,16,10,28
0,16,11,28
0,16,12,28
0,16,13,27
0,16,14,27
0,16,15,28
0,16,16,28
0,16,17,29
0,16,18,28
0,16,19,28
0,16,20,29
0,17,1,24
0,17,2,26
0,17,3,25
0,17,4,26
0,17,5,26
0,17,6,26
0,17,7,27
0,17,8,27
0,17,9,27
0,17,10,27
0,17,11,28
0,17,12,27
0,17,13,27
0,17,14,28
0,17,15,29
0,17,16,28
0,17,17,28
0,17,18,29
0,17,19,29
0,17,20,28
0,18,1,22
0,18,2,22
0,18,3,22
0,18,4,21
0,18,5,21
0,18,6,24
0,18,7,25
0,18,8,23
0,18,9,24
0,18,10,26
0,18,11,26
0,18,12,25
0,18,13,26
0,18,14,28
0,18,15,26
0,18,16,27
0,18,17,26
0,18,18,27
0,18,19,27
0,18,20,27
0,19,1,20
0,19,2,23
0,19,3,22
0,19,4,23
0,19,5,23
0,19,6,24
0,19,7,24
0,19,8,24
0,19,9,25
0,19,10,25
0,19,11,25
0,19,12,26
0,19,13,27
0,19,14,26
0,19,15,26
0,19,16,27
0,19,17,27
0,19,18,26
0,19,19,27
0,19,20,27
0,20,1,24
0,20,2,22
0,20,3,24
0,20,4,24
0,20,5,23
0,20,6,27
0,20,7,25
0,20,8,24
0,20,9,26
0,20,10,27
0,20,11,25
0,20,12,27
0,20,13,25
0,20,14,27
0,20,15,27
0,20,16,26
0,20,17,27
0,20,18,28
0,20,19,26
0,20,20,27
0,21,1,22
0,21,2,23
0,21,3,22
0,21,4,22
0,21,5,25
0,21,6,24
0,21,7,24
0,21,8,23
0,21,9,24
0,21,10,26
0,21,11,27
0,21,12,28
0,21,13,27
0,21,14,28
0,21,15,25
0,21,16,26
0,21,17,27
0,21,18,27
0,21,19,27
0,21,20,27
0,22,1,21
0,22,2,22
0,22,3,22
0,22,4,23
0,22,5,22
0,22,6,24
0,22,7,24
0,22,8,25
0,22,9,24
0,22,10,26
0,22,11,26
0,22,12,27
0,22,13,26
0,22,14,26
0,22,15,26
0,22,16,27
0,22,17,27
0,22,18,26
0,22,19,27
0,22,20,28
0,23,1,23
0,23,2,23
0,23,3,23
0,23,4,23
0,23,5,23
0,23,6,24
0,23,7,24
0,23,8,24
0,23,9,26
0,23,10,25
0,23,11,26
0,23,12,27
0,23,13,25
0,23,14,28
0,23,15,27
0,23,16,28
0,23,17,28
0,23,18,28
0,23,19,27
0,23,20,26
0,24,1,24
0,24,2,24
0,24,3,24
0,24,4,23
0,24,5,24
0,24,6,24
0,24,7,25
0,24,8,26
0,24,9,26
0,24,10,25
0,24,11,25
0,24,12,26
0,24,13,27
0,24,14,26
0,24,15,26
0,24,16,27
0,24,17,27
0,24,18,27
0,24,19,28
0,24,20,27
0,1,1,23
0,1,2,24
0,1,3,26
0,1,4,23
0,1,5,24
0,1,6,22
0,1,7,25
0,1,8,24
0,1,9,26
0,1,10,26
0,1,11,25
0,1,12,27
0,1,13,26
0,1,14,27
0,1,15,26
0,1,16,28
0,1,17,26
0,1,18,28
0,1,19,27
0,1,20,28
0,2,1,22
0,2,2,23
0,2,3,22
0,2,4,22
0,2,5,24
0,2,6,24
0,2,7,26
0,2,8,23
0,2,9,25
0,2,10,25
0,2,11,27
0,2,12,25
0,2,13,27
0,2,14,27
0,2,15,26
0,2,16,27
0,2,17,27
0,2,18,27
0,2,19,29
0,2,20,29
1,12,1,25
1,12,2,25
1,12,3,26
1,12,4,26
1,12,5,26
1,12,6,26
1,12,7,26
1,12,8,27
1,12,9,27
1,12,10,26
1,12,11,29
1,12,12,29
1,12,13,27
1,12,14,28
1,12,15,27
1,12,16,28
1,12,17,28
1,12,18,29
1,12,19,28
1,12,20,28
1,13,1,25
1,13,2,25
1,13,3,26
1,13,4,25
1,13,5,27
1,13,6,26
1,13,7,26
1,13,8,26
1,13,9,27
1,13,10,26
1,13,11,28
1,13,12,28
1,13,13,28
1,13,14,27
1,13,15,28
1,13,16,27
1,13,17,28
1,13,18,28
1,13,19,29
1,13,20,28
1,14,1,25
1,14,2,27
1,14,3,26
1,14,4,27
1,14,5,26
1,14,6,27
1,14,7,26
1,14,8,27
1,14,9,26
1,14,10,28
1,14,11,27
1,14,12,29
1,14,13,27
1,14,14,28
1,14,15,28
1,14,16,27
1,14,17,28
1,14,18,28
1,14,19,28
1,14,20,27
1,15,1,25
1,15,2,26
1,15,3,26
1,15,4,27
1,15,5,26
1,15,6,27
1,15,7,27
1,15,8,27
1,15,9,28
1,15,10,28
1,15,11,28
1,15,12,28
1,15,13,28
1,15,14,27
1,15,15,28
1,15,16,27
1,15,17,29
1,15,18,28
1,15,19,29
1,15,20,28
1,16,1,24
1,16,2,25
1,16,3,25
1,16,4,24
1,16,5,26
1,16,6,27
1,16,7,27
1,16,8,27
1,16,9,28
1,16,10,27
1,16,11,28
1,16,12,28
1,16,13,26
1,16,14,28
1,16,15,27
1,16,16,28
1,16,17,27
1,16,18,29
1,16,19,28
1,16,20,28
1,17,1,26
1,17,2,24
1,17,3,26
1,17,4,26
1,17,5,25
1,17,6,27
1,17,7,25
1,17,8,26
1,17,9,25
1,17,10,26
1,17,11,28
1,17,12,27
1,17,13,28
1,17,14,28
1,17,15,27
1,17,16,29
1,17,17,28
1,17,18,29
1,17,19,28
1,17,20,29
1,18,1,20
1,18,2,19
1,18,3,22
1,18,4,21
1,18,5,21
1,18,6,23
1,18,7,22
1,18,8,21
1,18,9,24
1,18,10,22
1,18,11,25
1,18,12,27
1,18,13,24
1,18,14,24
1,18,15,25
1,18,16,26
1,18,17,27
1,18,18,27
1,18,19,27
1,18,20,27
1,19,1,18
1,19,2,18
1,19,3,20
1,19,4,20
1,19,5,23
1,19,6,22
